username,follower,following
iwhale,146.6K,20.2K
janjirasin1984,"3,476",500
jbuchananbkk,24.1K,"1,413"
tukorawan,"8,611",253
tutv_prtu,"2,959",86
untitledx6,167,874
vilahatcatland,363,572
vocabbyhrk,70.8K,9
wannasingh,274.4K,276
wasanaww,104.8K,234
wenderll_,"2,327",584
wendywarmheart_,"4,026",383
wingdixxxx,57,28
withpepe_,14.7K,78
withsnsd_th,21.1K,72
wnh1qrimdisktfw,"7,969",257
wnoyshahs,384,249
woman_corner,85,509
wontehak98,298,"1,178"
xiuminstage90,"1,878",301
xtwonat,713,"1,635"
xviii_ixo,98,416
youpiece_ofshit,48,16
zritoed,108.8K,149
2richcocoa,59,151
4aptb6kdexuyyko,20,30
666flkn,1,3
94exosehunfans,13.5K,4
96pimm_,77,54
____mmnn1,449,107
_dekniti_,21.1K,2
aboutpomm,111,114
akid_genz,15,109
alpha_engi,99,527
antoinett_1971,"1,688",328
aorrrd,295,273
badstudent_,216.1K,0
bangkokdk,9,107
bbellbeauty,"2,356",700
belloworldd,"3,281",813
biillkiinnnaha,1,156
bmfrk,299,414
bobby54782003,31,63
bodin_democracy,"4,772",0
cani88500171,137,6
cha_nkbz,0,69
changmin_botth,"1,588",388
chiciceeeeeeeee,14,168
chitphumisak,907,151
chompooktrg,171,207
dim85803518,0,103
dssbp19,162,0
duckflow1,48,320
edoknaruk009,560,7
eh_ovonct_,143,247
em67234,575,69
formyloverkai,"1,542",3
forpeaceforall1,4,87
freedom_sohot,55,15
fridayokaeri,32.7K,940
friendjkm,7,21
frogvk,15.9K,72
gimmeonepls,54,127
haneull996,148,348
iamjungwoosdog,"2,915","1,394"
ib319421,188,211
ideatrashz,8,162
idekpred,973,30
idhfxx,120,64
igot7khongkwan,272,306
iiol3ankoii,10,43
ijune4s,145.1K,302
iluvprdmsu,507,465
jatupt,64K,268
jc_kaem,686,"1,096"
jemappelle2401,36,44
jgol_23,379,519
jimn95z,986,880
jjjungwwwoo,160,244
jkaimim,"1,183",621
jubjanghansa,"2,729",317
kb6__37,342,98
kkrataiich,277,374
knan96,"3,479",159
kukkaikittinan1,24,262
lawlongbeach,"1,420",26
littledog0_0,18,109
lookkatechonth1,12.9K,267
